,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
0,puerto santa,-8.9906,-78.6456,64.02,80,91,9.08,PE,1723302598
1,bubaque,11.2833,-15.8333,78.84,87,100,20.24,GW,1723302598
2,port-aux-francais,-49.35,70.2167,35.65,70,91,13.78,TF,1723302598
3,atafu village,-8.5421,-172.5159,82.2,78,61,17.54,TK,1723302599
4,balkanabat,39.5108,54.3671,100.89,23,0,4.63,TM,1723302599
5,sisimiut,66.9395,-53.6735,41.67,93,100,12.19,GL,1723302599
6,blackmans bay,-43.0167,147.3167,57.72,61,32,5.01,AU,1723302599
7,sao joaquim,-28.2939,-49.9317,47.73,59,52,3.58,BR,1723302599
8,cadale,2.7603,46.3222,77.9,81,81,18.37,SO,1723302599
9,wailua homesteads,22.0669,-159.378,75.99,88,40,13.8,US,1723302599
10,luau,-10.7073,22.2247,91.63,8,0,0.38,AO,1723302599
11,selfoss,63.9331,-20.9971,56.23,66,100,4.85,IS,1723302600
12,saipan,15.1355,145.701,83.1,78,20,0.0,MP,1723302456
13,najran,17.4924,44.1277,95.07,13,70,18.32,SA,1723302600
14,saurimo,-9.6608,20.3916,92.77,8,8,3.6,AO,1723302600
15,bilibino,68.0546,166.4372,49.68,93,100,5.7,RU,1723302600
16,papao,-17.75,-149.55,73.02,75,51,9.82,PF,1723302600
17,norfolk,42.1668,-71.2495,83.82,78,40,5.75,US,1723302561
18,kayangel,8.0823,134.7173,83.52,73,92,6.26,PW,1723302600
19,ilulissat,69.2167,-51.1,38.07,92,100,1.25,GL,1723302601
20,avarua,-21.2078,-159.775,68.05,64,75,2.3,CK,1723302601
21,gazli,40.1333,63.45,93.43,17,0,10.4,UZ,1723302601
22,san patricio,28.017,-97.5169,88.7,62,3,4.36,US,1723302601
23,luganville,-15.5333,167.1667,75.2,78,93,11.07,VU,1723302601
24,edinburgh of the seven seas,-37.0676,-12.3116,53.94,75,69,21.23,SH,1723302601
25,qusmuryn,52.4503,64.6311,61.18,54,85,4.65,KZ,1723302601
26,bredasdorp,-34.5322,20.0403,59.67,74,88,25.43,ZA,1723302433
27,sao vicente,-23.9631,-46.3919,53.98,26,100,14.14,BR,1723302601
28,tinajo,29.0788,-13.7081,81.48,54,20,21.85,ES,1723302601
29,adamstown,-25.066,-130.1015,64.18,74,40,14.0,PN,1723302602
30,margate,51.3813,1.3862,76.69,59,17,14.63,GB,1723302602
31,albany,42.6001,-73.9662,76.59,62,0,1.01,US,1723302518
32,al jawf,29.5,38.75,99.82,10,0,11.25,SA,1723302602
33,dibba al-hisn,25.6196,56.2729,88.79,69,99,6.44,AE,1723302602
34,tha maka,13.9,99.7667,84.29,73,71,4.0,TH,1723302602
35,waitangi,-43.9535,-176.5597,49.15,66,15,5.75,NZ,1723302602
36,port mathurin,-19.6833,63.4167,72.0,71,99,24.32,MU,1723302602
37,huilong,31.8111,121.655,82.8,85,80,12.86,CN,1723302602
38,isafjordur,66.0755,-23.124,48.24,87,100,0.0,IS,1723302559
39,longyearbyen,78.2186,15.6401,57.04,72,0,3.44,SJ,1723302603
40,i-n-salah,27.1935,2.4607,110.55,8,0,27.72,DZ,1723302308
41,portland,45.5234,-122.6762,64.94,85,100,3.44,US,1723302603
42,tiksi,71.6872,128.8694,36.75,77,72,7.31,RU,1723302603
43,namibe,-15.1961,12.1522,70.25,75,25,11.34,AO,1723302603
44,ilovlya,49.3033,43.9796,82.92,29,54,13.89,RU,1723302603
45,olonkinbyen,70.9221,-8.7187,41.43,94,98,6.89,SJ,1723302603
46,paracuru,-3.41,-39.0306,85.96,52,23,17.83,BR,1723302603
47,geraldton,-28.7667,114.6,63.01,94,0,8.05,AU,1723302603
48,rio maior,39.3373,-8.9391,87.26,57,0,1.01,PT,1723302604
49,kerikeri,-35.2268,173.9474,42.91,91,20,1.99,NZ,1723302604
50,puerto natales,-51.7236,-72.4875,39.65,93,100,0.0,CL,1723302604
51,callao,-12.0667,-77.15,59.29,88,100,2.3,PE,1723302604
52,thompson,55.7435,-97.8558,71.62,49,100,5.14,CA,1723302604
53,yellowknife,62.456,-114.3525,68.41,72,20,12.66,CA,1723302341
54,kingston,17.997,-76.7936,89.17,66,20,3.44,JM,1723302376
55,vadso,70.0744,29.7487,71.76,53,0,13.8,NO,1723302604
56,mapimi,25.8167,-103.85,76.19,56,52,6.4,MX,1723302605
57,lazaro cardenas,17.9583,-102.2,81.34,85,98,2.59,MX,1723302605
58,dunedin,-45.8742,170.5036,41.81,93,68,5.59,NZ,1723302605
59,aasiaat,68.7098,-52.8699,37.69,96,100,0.18,GL,1723302605
60,auki,-8.7676,160.7034,75.96,91,99,3.62,SB,1723302605
61,bethel,41.3712,-73.414,80.69,71,75,3.44,US,1723302605
62,pacasmayo,-7.4006,-79.5714,66.67,75,32,10.54,PE,1723302606
63,sinabang,2.4803,96.3801,78.46,89,100,11.21,ID,1723302606
64,invercargill,-46.4,168.35,45.01,87,98,3.0,NZ,1723302606
65,kangding,30.0513,101.9603,59.16,99,100,2.62,CN,1723302606
66,grytviken,-54.2811,-36.5092,11.77,71,100,2.19,GS,1723302606
67,susuman,62.7833,148.1667,56.37,55,91,5.95,RU,1723302606
68,college,64.8569,-147.8028,49.98,88,100,8.05,US,1723302337
69,gadzhiyevo,69.2551,33.3362,66.83,50,62,13.18,RU,1723302606
70,chinde,26.8212,87.7095,76.84,92,99,2.8,NP,1723302606
71,bahia blanca,-38.7196,-62.2724,49.73,85,100,13.73,AR,1723302606
72,kwatarkwashi,12.1408,6.822,80.83,71,88,11.48,NG,1723302607
73,margaret river,-33.95,115.0667,63.0,80,100,22.24,AU,1723302607
74,papatowai,-46.5619,169.4708,45.99,79,81,6.6,NZ,1723302607
75,nova sintra,14.8667,-24.7167,78.22,81,98,15.05,CV,1723302607
76,flying fish cove,-10.4217,105.6791,76.68,88,100,10.36,CX,1723302607
77,talnakh,69.4865,88.3972,61.56,46,0,4.07,RU,1723302607
78,hasaki,35.7333,140.8333,79.95,82,100,24.74,JP,1723302607
79,pitimbu,-7.4706,-34.8086,79.12,62,40,9.46,BR,1723302607
80,acajutla,13.5928,-89.8275,83.71,74,99,4.65,SV,1723302607
81,sarina,-21.4333,149.2167,69.26,1,99,10.11,AU,1723302607
82,arraial do cabo,-22.9661,-42.0278,64.26,88,100,6.91,BR,1723302608
83,langepas,61.2544,75.2124,55.09,75,100,11.65,RU,1723302608
84,miranda,3.2499,-76.2281,74.91,77,69,3.8,CO,1723302462
85,harstad,68.799,16.5293,65.62,66,100,18.99,NO,1723302608
86,hola prystan',46.5206,32.5258,87.75,32,34,14.56,UA,1723302608
87,whitehorse,60.7161,-135.0538,55.81,76,75,10.0,CA,1723302608
88,mata-utu,-13.2816,-176.1745,78.49,77,100,23.49,WF,1723302608
89,tomatlan,19.9333,-105.25,80.37,80,56,3.2,MX,1723302608
90,ierapetra,35.01,25.7353,91.15,30,0,11.01,GR,1723302608
91,hermanus,-34.4187,19.2345,58.48,84,74,23.73,ZA,1723302609
92,keflavik,64.0049,-22.5624,54.03,76,0,8.05,IS,1723302314
93,puerto armuelles,8.2833,-82.8667,79.09,86,100,1.01,PA,1723302436
94,deqen,29.9618,90.7188,50.65,64,45,4.25,CN,1723302609
95,iskateley,67.6803,53.1512,63.55,65,46,9.73,RU,1723302609
96,sault ste. marie,46.5168,-84.3333,59.29,88,100,16.11,CA,1723302451
97,tafuna,-14.3358,-170.72,76.87,79,100,22.68,AS,1723302609
98,ribeira grande,38.5167,-28.7,79.2,73,75,17.0,PT,1723302609
99,mount gambier,-37.8333,140.7667,44.24,98,36,4.27,AU,1723302609
100,port alfred,-33.5906,26.891,74.89,45,83,4.59,ZA,1723302609
101,chipinge,-20.1883,32.6236,77.7,15,0,10.45,ZW,1723302610
102,anadyr,64.75,177.4833,37.9,87,0,4.47,RU,1723302610
103,hithadhoo,-0.6,73.0833,82.35,76,92,8.28,MV,1723302610
104,longgang,37.6508,120.3286,80.53,92,1,12.01,CN,1723302610
105,svetlogorsk,52.6333,29.7333,73.58,64,53,13.4,BY,1723302610
106,guerrero negro,27.9769,-114.0611,69.8,79,8,10.2,MX,1723302343
107,tabou,4.423,-7.3528,77.94,78,64,11.27,CI,1723302610
108,new plymouth,-39.0667,174.0833,41.31,100,7,3.0,NZ,1723302610
109,nalut,30.3333,10.85,98.37,14,0,13.13,LY,1723302610
110,rosario do sul,-30.2583,-54.9142,53.26,66,0,8.21,BR,1723302610
111,armacao de buzios,-22.7469,-41.8817,64.92,89,99,22.84,BR,1723302610
112,ushuaia,-54.8,-68.3,33.98,95,98,1.43,AR,1723302610
113,walvis bay,-22.9575,14.5053,65.34,57,11,24.76,NA,1723302611
114,qaqortoq,60.7167,-46.0333,44.19,94,100,8.03,GL,1723302611
115,sola,-13.8833,167.55,77.63,74,82,23.73,VU,1723302611
116,ntoum,0.3833,9.7833,82.92,63,85,7.43,GA,1723302611
117,okhotsk,59.3833,143.3,56.12,89,98,8.93,RU,1723302611
118,minas de marcona,-15.2119,-75.1103,60.75,54,13,11.18,PE,1723302366
119,jamestown,42.097,-79.2353,70.02,59,75,16.11,US,1723302426
120,nabire,-3.3667,135.4833,74.84,93,76,4.07,ID,1723302612
121,luderitz,-26.6481,15.1594,64.31,56,90,12.71,NA,1723302353
122,petropavlovsk-kamchatsky,53.0452,158.6483,50.5,87,94,3.27,RU,1723302612
123,bathsheba,13.2167,-59.5167,88.41,74,40,14.97,BB,1723302612
124,rushville,39.6092,-85.4464,70.11,69,3,3.0,US,1723302435
125,ola,59.5833,151.2833,55.22,95,99,8.7,RU,1723302612
126,aoulef,26.9667,1.0833,111.81,8,0,21.39,DZ,1723302612
127,thunder bay,48.4001,-89.3168,53.83,84,100,11.79,CA,1723302612
128,nuuk,64.1835,-51.7216,47.01,100,100,4.61,GL,1723302319
129,berezovyy,51.6667,135.7,55.63,88,53,2.98,RU,1723302613
130,ancud,-41.8697,-73.8203,48.67,84,66,16.46,CL,1723302376
131,birao,10.2849,22.7882,80.71,82,100,4.85,CF,1723302613
132,twentynine palms,34.1356,-116.0542,92.14,26,1,1.21,US,1723302613
133,nemuro,43.3236,145.575,60.13,96,93,14.67,JP,1723302613
134,kodiak,57.79,-152.4072,51.31,82,100,0.0,US,1723302388
135,trujillo,-8.116,-79.03,60.76,88,100,8.05,PE,1723302551
136,ocean shores,46.9737,-124.1563,61.02,94,100,5.75,US,1723302614
137,tolanaro,-25.0319,46.9987,70.86,85,0,10.51,MG,1723302614
138,st. john's,47.5649,-52.7093,64.98,86,100,7.0,CA,1723302490
139,belyy yar,53.6039,91.3903,75.09,64,0,4.47,RU,1723302614
140,stanley,54.868,-1.6985,71.37,51,20,16.11,GB,1723302614
